latitude,longitude,acq_date,acq_time,confidence,frp,year,month,day,index_right,city,country,population,distance_m,distance_km,risk_level
45.45841,122.1901,2026-05-19,330,n,125.82,2026,5,19,498,Baicheng,China,1551378.0,76559.8852608788,76.5598852608788,Moderate
49.26727,135.50427,2026-05-19,330,n,52.05,2026,5,19,1187,Khabarovsk,Russia,615570.0,140726.88377027638,140.72688377027637,Low
50.31006,129.90123,2026-05-19,330,n,58.63,2026,5,19,851,Yichun,China,878881.0,454032.78866905015,454.03278866905015,Low
50.40623,130.21886,2026-05-19,330,n,79.35,2026,5,19,851,Yichun,China,878881.0,480351.5878301575,480.3515878301575,Low
50.40886,130.21147,2026-05-19,330,n,79.35,2026,5,19,851,Yichun,China,878881.0,480525.1238077699,480.5251238077699,Low
50.41008,130.21675,2026-05-19,330,h,79.35,2026,5,19,851,Yichun,China,878881.0,480914.05853683763,480.9140585368376,Low
50.42043,130.20509,2026-05-19,330,n,66.43,2026,5,19,851,Yichun,China,878881.0,482218.0667790292,482.2180667790292,Low
50.42167,130.21045,2026-05-19,330,h,66.43,2026,5,19,851,Yichun,China,878881.0,482611.8425568733,482.6118425568733,Low
50.42552,130.20831,2026-05-19,330,n,66.43,2026,5,19,851,Yichun,China,878881.0,483175.04717570305,483.17504717570307,Low
50.42674,130.21361,2026-05-19,330,n,96.27,2026,5,19,851,Yichun,China,878881.0,483563.4802528209,483.5634802528209,Low
50.42814,130.20084,2026-05-19,330,n,59.32,2026,5,19,851,Yichun,China,878881.0,483348.5000885794,483.34850008857944,Low
50.4298,130.20412,2026-05-19,330,h,76.71,2026,5,19,851,Yichun,China,878881.0,483738.4057826422,483.7384057826422,Low
50.43105,130.20938,2026-05-19,330,h,76.71,2026,5,19,851,Yichun,China,878881.0,484129.7413321449,484.1297413321449,Low
50.43199,130.19868,2026-05-19,330,n,59.32,2026,5,19,851,Yichun,China,878881.0,483912.33749852655,483.91233749852654,Low
50.43228,130.21461,2026-05-19,330,h,110.06,2026,5,19,851,Yichun,China,878881.0,484517.20188122324,484.51720188122323,Low
50.43301,130.22198,2026-05-19,330,n,125.12,2026,5,19,851,Yichun,China,878881.0,484897.7381045732,484.8977381045732,Low
50.43321,130.20396,2026-05-19,330,n,59.32,2026,5,19,851,Yichun,China,878881.0,484298.7011007584,484.2987011007584,Low
50.43352,130.21989,2026-05-19,330,h,110.06,2026,5,19,851,Yichun,China,878881.0,484908.572075819,484.908572075819,Low
50.43423,130.22728,2026-05-19,330,n,125.12,2026,5,19,851,Yichun,China,878881.0,485287.2493097679,485.2872493097679,Low
